original	google_translation
abstractedness	Abstraktheit
abstraction	Abstraktion
abstractionism	Abstraktionismus
abstractionist	Abstraktionist
abstractive	abstrakt
abstractly	abstrakt
absurdity	Absurdität
absurdly	absurd
absurdness	Absurdität
abundance	Fülle
abundant	reichlich
abundantly	reichlich
abuse	Missbrauch
abuser	Täter
abusive	missbräuchlich
abusively	missbräuchlich
abusiveness	Missbrauch
abysmally	abgrundtief
abyss	Abgrund
academia	Wissenschaft
academic	akademisch
academically	wissenschaftlich
academy	Akademie
accelerant	Beschleunigen
accelerate	beschleunigen
accelerated	beschleunigt
acceleration	Beschleunigung
accelerative	beschleunigend
accelerator	Beschleuniger
acceleratory	beschleunigend
accelerometer	Beschleunigungsmesser
accent	Akzent
accentually	akzentuiert
accentuate	akzentuieren
accentuation	Akzentuierung
accept	akzeptieren
acceptability	Annehmbarkeit
acceptable	akzeptabel
acceptableness	Akzeptanz
acceptably	akzeptabel
acceptance	Annahme
acceptant	akzeptieren
accepted	akzeptiert
acceptor	Akzeptor
access	Zugang
accessibility	Barrierefreiheit
accessible	zugänglich
accessibly	zugänglich
accessorize	ausstatten
accessory	Zubehörteil
accident	Unfall
accidental	zufällig
accidentally	versehentlich
acclaim	Anerkennung
acclaimer	Anerkennung
acclamation	Akklamation
acclimate	akklimatisieren
acclimatization	Akklimatisierung
acclimatize	akklimatisieren
accolade	Akkolade
accommodate	unterbringen
accommodating	zuvorkommend
accommodatingly	zuvorkommend
accommodation	Unterkunft
accommodative	entgegenkommend
accommodator	Unterbringung
accompanier	Begleiter
accompaniment	Begleitung
accompany	begleiten
accomplice	der Mitschuldige
accomplish	erreichen
accomplishable	erreichbar
accomplished	vollendet
accomplisher	Vollstrecker
accomplishment	Leistung
accord	Übereinstimmung
accordance	Übereinstimmung
accordantly	entsprechend
accordingly	entsprechend
accordion	Akkordeon
accordionist	Akkordeonist
accosted	angesprochen
account	Konto
accountability	Rechenschaftspflicht
accountable	verantwortlich
accountableness	Verantwortung
accountably	verantwortlich
accountancy	Buchhaltung
accountant	Buchhalter
accounting	Buchhaltung
accredit	akkreditieren
accreditation	Akkreditierung
accredited	akkreditiert
accrue	anfallen
accruement	erhöht
accumulate	akkumulieren
accumulation	Akkumulation
accumulative	kumulativ
accumulatively	kumulativ
accumulativeness	Akkumulierung
accumulator	Akkumulator
accuracy	Genauigkeit
accurate	genau
accurately	genau
accurateness	Genauigkeit
accursed	verflucht
accusable	anklagbar
accusative	Akkusativ
accusatively	anklagend
accusatorial	anklagend
accusatory	anklagend
accuse	beschuldigen
accused	beschuldigt
accuser	Ankläger
accusingly	anklagend
accustom	gewöhnen
accustomed	gewohnt
ace	As
acetone	Aceton
acetylene	Acetylen
ache	schmerzen
achievable	erreichbar
achieve	erreichen
achievement	Leistung
achiever	DURCHFÜHRER
achiness	Schmerzen
aching	Schmerz
achingly	schmerzhaft
achy	schmerzt
acid	Säure
acidic	sauer
acidification	Versauerung
acidify	ansäuern
acidity	Säure
acidly	sauer
acidometer	Säuremesser
acknowledgeable	anerkennenswert
acknowledged	anerkannt
acknowledgement	Wissen
acne	Akne
acorn	Eichel
acoustic	akustisch
acoustical	akustisch
acoustically	akustisch
acquaint	bekannt machen
acquaintance	Bekanntschaft
acquainted	bekannt
acquiesce	zustimmen
acquiescently	stillschweigend
acquirable	erwerbbar
acquire	erwerben
acquired	erworben
acquirement	Aneignung
acquirer	Erwerber
acquisition	Erwerb
acquisitively	erwerbstätig
acquit	freisprechen
acquittal	Freispruch
acquitter	freisprechen
acre	Acre
acrid	scharf
acrimoniously	erbittert
acrobat	Akrobat
acrobatic	akrobatisch
acrobatically	akrobatisch
acrobatics	Akrobatik
acronym	Akronym
acrophobia	Höhenangst
across	über
acrylic	Acryl
act	Akt
acting	Schauspielkunst
action	Aktion
actionable	umsetzbar
activate	aktivieren Sie
activation	Aktivierung
activator	Aktivator
active	aktiv
actively	aktiv
activeness	Aktivität
activism	Aktivismus
activist	Aktivist
activity	Aktivität
actor	Schauspieler
actress	Darstellerin
actual	tatsächlich
actuality	Wirklichkeit
actualization	Verwirklichung
actualize	verwirklichen
actually	Genau genommen
acupressure	Akupressur
acupuncture	Akupunktur
acupuncturist	Akupunkteur
acute	akut
acutely	akut
ad	Anzeige
adage	Sprichwort
adamant	unnachgiebig
adamantly	unerbittlich
adaptability	Anpassungsfähigkeit
adaptable	anpassungsfähig
adapter	Adapter
adaption	adaption
adaptive	adaptiv
adaptively	adaptiv
adaptor	Adapter
add	hinzufügen
added	hinzugefügt
addendum	Nachtrag
addict	süchtig
addicted	süchtig
addictedness	Sucht
addictive	süchtig machend
addictiveness	Suchtgefahr
additional	zusätzlich
additionally	zusätzlich
additive	Zusatzstoff
additively	additiv
address	Adresse
addressable	adressierbar
addressbook	Adressbuch
addressee	Adressat
addresser	Adressierer
addressor	Adressat
adept	geschickt
adeptly	geschickt
adeptness	Geschicklichkeit
adequacy	Angemessenheit
adequate	angemessen
adequately	ausreichend
adequateness	Angemessenheit
adhere	haften
adherence	Adhärenz
adherent	Anhänger
adherently	haftend
adhesion	Adhäsion
adhesive	Klebstoff
adhesively	klebend
adhesiveness	Haftfähigkeit
adjacent	benachbart
adjacently	daneben
adjectivally	adjektivisch
adjective	Adjektiv
adjoin	angrenzen
adjoined	angeschlossen
adjoining	angrenzend
adjourn	vertagen
adjournment	Unterbrechung
adjudicate	entscheiden
adjudication	Entscheidung
adjunct	Zusatz
adjust	anpassen
adjustability	Verstellbarkeit
adjustable	einstellbar
adjustably	verstellbar
adjuster	Einsteller
adjustment	Einstellung
adjustor	Einsteller
admin	Administrator
administer	verwalten
administrable	verwaltbar
administrational	verwaltungstechnisch
administrative	administrativ
administratively	administrativ
administrator	Administrator
admirable	bewundernswert
admirably	bewundernswert
admiral	Admiral
admiration	Bewunderung
admire	bewundern
admired	bewundert
admirer	Bewunderer
admiring	bewundernd
admiringly	bewundernd
admissibility	Zulässigkeit
admissible	zulässig
admissibleness	Zulässigkeit
admission	Zulassung
admissive	zustimmend
admit	zugeben
admittance	Zulassung
admitted	zugelassen
admittedly	freilich
admitter	um zugelassen zu werden
admonishingly	mahnend
admonishment	Ermahnung
adobe	Adobe
adolescence	Jugend
adolescent	Jugendlicher
adolescently	jugendlich
adopt	adoptieren
adoptability	Adoptierbarkeit
adoptable	adoptierbar
adopted	angenommen
adoptee	adoptiert
adopter	Adoptant
adoption	Annahme
adoptive	adoptiv
adoptively	adoptiv
adorability	Liebenswürdigkeit
adorable	liebenswert
adorableness	Liebenswürdigkeit
adorably	hinreißend
adoration	Anbetung
adore	verehren
adoring	verehren
adoringly	liebevoll
adorn	schmücken
adorner	Zierer
adornment	Schmuck
adrenal	Nebenniere
adrenalin	Adrenalin
adrenaline	Adrenalin
adrift	treibend
adult	Erwachsene
adulteration	Verfälschung
adulterer	Ehebrecher
adulteress	Ehebrecherin
adulterous	ehebrecherisch
adulterously	ehebrecherisch
adultery	Ehebruch
adulthood	Erwachsensein
adultlike	erwachsenenhaft
adultness	Erwachsensein
advance	Vorauszahlung
advanced	fortschrittlich
advancement	Förderung
advancer	Vorreiter
advancing	voranschreiten
advantage	Vorteil
advantageous	vorteilhaft
advantageously	vorteilhaft
advantageousness	Vorteilhaftigkeit
advent	Advent
adventure	Abenteuer
adventurer	Abenteurer
adventuresome	abenteuerlich
adventuress	Abenteurerin
adventurist	Abenteurer
adventurous	abenteuerlich
adventurously	abenteuerlich
adventurousness	Abenteuerlust
adverb	Adverb
adversarial	gegnerisch
adversary	Gegner
adverse	nachteilig
adversely	nachteilig
adverseness	Ungünstigkeit
adversity	Unglück
advert	Inserat
advertently	versehentlich
advertise	werben
advertisement	Werbung
advertiser	Inserent
advertising	Werbung
advertize	werben
advice	Beratung
advisability	Zweckmäßigkeit
advisable	ratsam
advise	beraten
advised	geraten
advisedly	mit Bedacht
advisee	Berater
advisement	Beratung
adviser	Berater
advisor	Berater
advisory	beratend
advocacy	Interessenvertretung
aeration	Belüftung
aerator	Belüfter
aerial	Antenne
aerialist	Luftakrobat
aerially	aus der Luft
aerobatics	Kunstflug
aerobic	Aerobic
aerobically	aerob
aerobics	Aerobic
aerodynamic	aerodynamisch
aerodynamics	Aerodynamik
aerographer	Aerograph
aeromechanics	Aeromechanik
aeronautic	Luftfahrt
aeronautical	Luftfahrt
aeronautics	Luftfahrt
aerosol	Aerosol
aerospace	Luft- und Raumfahrt
aesthetic	ästhetisch
aesthetical	ästhetisch
aesthetically	ästhetisch
aesthetician	Kosmetikerin
aestheticism	Ästhetizismus
aesthetics	Ästhetik
afar	in der Ferne
affability	Freundlichkeit
affable	freundlich
affair	Affäre
affect	beeinflussen
affected	betroffen
affectedness	Betroffenheit
affecting	beeinflussend
affection	Zuneigung
affectionate	liebevoll
affectionately	liebevoll
affective	affektiv
affectively	affektiv
affectivity	Affektivität
affidavit	eidesstattliche Erklärung
affiliate	Affiliate
affiliation	Zugehörigkeit
affirm	bestätigen
affirmable	bejahend
affirmation	Bejahung
affirmative	positiv
affirmatively	bejahend
affirmer	bestätigen
affix	Affix
affixation	Anhang
afflict	beschweren
afflicted	befallen
afflicting	belastend
affliction	Gebrechen
affluent	wohlhabend
affluently	wohlhabend
afford	leisten
affordability	Bezahlbarkeit
affront	Beleidigung
affronted	beleidigt
afghan	afghanisch
aficionado	Liebhaber
aflame	in Flammen
afloat	flott
aflutter	aflutter
aforementioned	vorgenannten
afraid	besorgt
afro	Afro
after	nach
afterbirth	Nachgeburt
afterburner	Nachbrenner
aftercare	Nachbehandlung
aftereffect	Nachwirkung
afterhours	nach Geschäftsschluss
afterlife	Leben nach dem Tod
aftermath	Nachwirkungen
aftermost	nachletzte
afternoon	Nachmittag
afterparty	Nach der Party
aftersale	Nachverkauf
afterschool	nach der Schule
aftershave	Aftershave
aftershock	Nachbeben
aftertaste	Nachgeschmack
aftertime	nach der Zeit
aftertimes	Nachzeiten
afterward	nachher
afterworld	Nachwelt
again	wieder
against	gegen
age	Alter
aged	alt
ageism	Altersdiskriminierung
ageless	zeitlos
agelessness	Alterslosigkeit
agency	Agentur
agenda	Agenda
agent	Agent
aggravate	verschlimmern
aggravated	verschärft
aggravating	erschwerend
aggravation	Verschlimmerung
aggravator	Verschärfer
aggregate	Aggregat
aggregately	aggregiert
aggregation	Anhäufung
aggregative	aggregativ
aggregator	Aggregator
aggression	Aggression
aggressive	aggressiv
aggressively	aggressiv
aggressiveness	Aggressivität
aggrieve	betrüben
aggrievedly	gekränkt
aghast	August
agile	agil
agility	Beweglichkeit
aging	Altern
agitated	agitiert
agitatedly	aufgeregt
agitation	Agitation
agitator	Agitator
agnostic	agnostisch
agnostically	agnostisch
agnosticism	Agnostizismus
ago	vor
agonistic	agonistisch
agonize	quälen
agonizing	quälend
agonizingly	quälend
agony	Qual
agoraphobia	Agoraphobie
agoraphobic	agoraphobisch
agree	zustimmen
agreeable	angenehm
agreeableness	Verträglichkeit
agreeably	angenehm
agreed	vereinbart
agreeing	zustimmend
agreement	Vereinbarung
agricultural	landwirtschaftlich
agriculturalist	Landwirt
agriculturally	landwirtschaftlich
agriculture	Landwirtschaft
agriculturist	Landwirt
aground	auf Grund gelaufen
ahead	voraus
ahem	Hm
ahoy	Ahoi
aid	Hilfe
aide	Berater
aides	Helfer
aidless	hilflos
aids	AIDS
ailing	kränklich
ailment	Leiden
aim	Ziel
aiming	Zielen
aimless	ziellos
aimlessly	ziellos
aimlessness	Ziellosigkeit
air	Luft
airbag	Airbag
airbed	Luftmatratze
airboat	Luftboot
airborne	in der Luft
airbrush	Airbrush
aircraft	Flugzeug
aircraftman	Flugzeugführer
aircrew	Flugzeugbesatzung
airfield	Flugplatz
airflow	Luftstrom
airforce	Luftwaffe
airfreight	Luftfracht
airhead	Luftkopf
airing	Lüftung
airline	Fluggesellschaft
airliner	Verkehrsflugzeug
airmail	Luftpost
airmanship	Flugkunst
airpark	Flughafen
airplane	Flugzeug
airport	Flughafen
airpower	Luftkraft
airproof	luftdicht
airship	Luftschiff
airshow	Flugschau
airsick	luftkrank
airsickness	Luftkrankheit
airspace	Luftraum
airspeed	Fluggeschwindigkeit
airstream	Luftstrom
airstrike	Luftangriff
airstrip	Landebahn
airtight	luftdicht
airtime	Sendezeit
airwave	es war kaputt
airway	Atemweg
airworthiness	Lufttüchtigkeit
airy	luftig
aisle	Gang
ajar	unterrichten
akin	meins
alabaster	Alabaster
alarm	Alarm
alarmclock	Wecker
alarmed	alarmiert
alarming	alarmierend
alarmingly	erschreckend
alarmist	Alarmist
alas	Ach
albacore	Weißer Thun
albatross	Albatros
albeit	albeit
albino	Albino
album	Album
alchemically	alchemistisch
alchemist	Alchimist
alchemy	Alchimie
alcohol	Alkohol
alcoholic	Alkoholiker
alcoholically	alkoholisch
alcoholism	Alkoholismus
alcove	Alkoven
ale	Aber
alehouse	Bierstube
alert	Alarm
alertly	aufmerksam
alertness	Wachsamkeit
alfalfa	Alfalfa
algae	Algen
algebra	Algebra
algebraic	algebraisch
algebraically	algebraisch
algorithm	Algorithmus
alias	alias
alibi	Alibi
alien	Außerirdischer
alienability	Entfremdbarkeit
alienable	veräußerlich
alienate	entfremden
alienation	Entfremdung
alienator	Entfremder
aliens	Außerirdische
alight	aussteigen
align	ausrichten
alignment	Ausrichtung
alike	wie
alikeness	Ähnlichkeit
alimony	Alimente
alive	lebendig
aliveness	Lebendigkeit
alkaline	alkalisch
alkalinity	Alkalinität
alkalinize	alkalisieren
alkalization	Alkalisierung
alkalize	alkalisieren
alkaloid	Alkaloid
all	alle
allegation	Behauptung
allege	behaupten
allegeable	angeblich
alleged	angeblich
allegedly	angeblich
allegiance	Treue
allegoric	allegorisch
allegorical	allegorisch
allegorically	allegorisch
allegorist	Allegorist
allegory	Allegorie
allergen	Allergen
allergenic	allergen
allergic	allergisch
allergist	Allergologe
allergy	Allergie
alleviate	lindern
alleviation	Linderung
alleviative	lindernd
alleviator	Linderung
alley	Gasse
alleyway	Gasse
alliance	Allianz
allied	verbündet
allies	Alliierte
alligator	Alligator
alliterate	allitieren
alliteration	Alliteration
allocable	zuordenbar
allocate	zuordnen
allocation	Zuweisung
allocator	Allokator
allotment	Zuteilung
allow	erlauben
allowable	zulässig
allowableness	Zulässigkeit
allowably	zulässig
allowance	Zuschuss
alloy	Legierung
allspice	Piment
allure	locken
allurer	Verführer
alluring	verlockend
alluringly	verführerisch
allusion	Anspielung
allusively	anspielend
allusiveness	Anspielung
ally	Verbündete
almightily	allmächtig
almightiness	Allmacht
almighty	allmächtig
almond	Mandel
almost	fast
aloe	Aloe
aloft	oben
aloha	Auf Wiedersehen
alone	allein
aloneness	Einsamkeit
along	entlang
alongside	neben
aloof	distanziert
aloofly	distanziert
aloud	laut
alpaca	Alpaka
alpha	Alpha
alphabet	Alphabet
alphabetic	alphabetisch
alphabetical	alphabetisch
alphabetically	alphabetisch
alphabetization	Alphabetisierung
alphabetize	alphabetisieren
alphanumeric	alphanumerisch
alphanumerical	alphanumerisch
alpine	alpin
already	bereits
alright	In Ordnung
also	Auch
altar	Altar
altarpiece	Altarbild
alter	alter
alterability	Veränderbarkeit
alterable	änderbar
alteration	Änderung
altercation	Auseinandersetzung
alternate	wechseln
alternately	abwechselnd
alternating	abwechselnd
alternation	Wechsel
alternative	Alternative
alternatively	Alternative
alternativeness	Alternative
alternator	Generator
although	Obwohl
altitude	Höhe
altogether	insgesamt
altruism	Altruismus
altruistic	altruistisch
altruistically	altruistisch
alum	Alaun
aluminize	aluminisieren
aluminum	Aluminium
alumni	Alumni
always	stets
alzheimer	Alzheimer
am	am
amaretto	Amaretto
amass	anhäufen
amateur	Amateur
amateurish	amateurhaft
amateurishly	dilettantisch
amateurishness	Dilettantismus
amateurism	Amateurismus
amaze	verblüffen
amazed	erstaunt
amazedly	erstaunt
amazedness	Erstaunen
amazement	Staunen
amazing	toll
amazingly	erstaunlich
ambassador	Botschafter
ambassadorial	Botschafter-
ambassadorship	Botschafterschaft
amber	Bernstein
ambiance	Ambiente
ambidexterity	Beidhändigkeit
ambidexterous	beidhändig
ambidextrous	beidhändig
ambidextrously	beidhändig
ambience	Ambiente
ambiguity	Mehrdeutigkeit
ambiguous	mehrdeutig
ambiguously	mehrdeutig
ambiguousness	Mehrdeutigkeit
ambitious	ehrgeizig
ambitiousness	Ehrgeiz
ambivalence	Ambivalenz
ambivalent	ambivalent
amble	schlendern
ambling	schlendern
ambulance	Krankenwagen
ambulatory	ambulant
ambush	Hinterhalt
ambusher	Hinterhalt
amen	Amen
amenable	zugänglich
amendable	änderbar
amendment	Änderung
amenity	Annehmlichkeit
americanize	amerikanisieren
amethyst	Amethyst
amiable	liebenswürdig
amicability	Verträglichkeit
amicable	freundschaftlich
amicableness	Freundlichkeit
amicably	friedlich
amid	inmitten
amidst	inmitten
amigo	Freund
amino	Amino
amiss	falsch
ammo	Jedoch
ammonia	Ammoniak
ammonium	Ammonium
ammunition	Munition
amnesiac	Amnesie
amoeba	Amöbe
amok	Amok
among	unter
amongst	unter
amoral	amoralisch
amorality	Amoralität
amorously	verliebt
amorousness	Verliebtheit
amorphous	amorph
amorphously	amorph
amount	Menge
amp	Ampere
amperage	Stromstärke
amphetamine	Amphetamin
amphibian	Amphibie
amphibious	amphibisch
amphibiously	amphibisch
amphitheater	Amphitheater
ample	reichlich
ampleness	Fülle
amplification	Verstärkung
amplifier	Verstärker
amplify	verstärken
amply	reichlich
amputate	amputieren
amputation	Amputation
amputee	Amputierte
amulet	Amulett
amusable	amüsant
amuse	amüsieren
amused	amüsiert
amusedly	amüsiert
amusement	Amüsement
amuser	amüsieren
amusing	lustig
an	ein
anaconda	Anakonda
anaerobic	anaerob
anaesthetize	betäuben
anagram	Anagramm
anagrams	Anagramme
anal	anal
analgesic	Analgetikum
anally	anal
analog	analog
analogical	analog
analogous	analog
analogy	Analogie
analyses	Analysen
analysis	Analyse
analyst	Analytiker
analytic	analytisch
analytical	analytisch
analytically	analytisch
analytics	Analytik
analyzability	Analysierbarkeit
analyzable	zerlegbar
analyze	analysieren
analyzer	Analysator
anamorphic	anamorph
anarchic	anarchisch
anarchical	anarchisch
anarchism	Anarchismus
anarchist	Anarchist
anarchy	Anarchie
anatomic	anatomisch
anatomical	anatomisch
anatomically	anatomisch
anatomist	Anatom
anatomization	Anatomisierung
ancestor	Vorfahr
ancestors	Vorfahren
ancestral	Ahnen-
ancestrally	angestammt
ancestry	Abstammung
anchor	Anker
anchorage	Anchorage
anchored	verankert
anchorless	ankerlos
anchorwoman	Moderatorin
anchovy	Anschovis
ancient	uralt
anciently	in der Antike
and	Und
androgyny	Androgynie
android	Android
anecdotal	anekdotisch
anecdote	Anekdote
anecdotic	anekdotisch
anemia	Anämie
anemic	anämisch
anesthesia	Anästhesie
anesthesiologist	Anästhesist
anesthesiology	Anästhesiologie
anesthetic	Narkose
anesthetist	Anästhesist
anesthetization	Betäubung
anesthetize	betäuben
aneurism	Aneurysma
aneurysm	Aneurysma
anew	ein neuer
angel	Engel
angelfish	Kaiserfisch
angelical	engelhaft
angelically	engelhaft
anger	Wut
angers	Wut
angioplasty	Angioplastie
angle	Winkel
angled	abgewinkelt
angler	Angler
angles	Winkel
angleworm	Winkelwurm
angrily	wütend
angry	wütend
anguish	Pein
anguished	gequält
animal	Tier
animalistic	animalisch
animalize	animalisieren
animated	animiert
animatedly	lebhaft
animating	animierend
animation	Animation
animator	Animator
anime	Anime
animosity	Feindseligkeit
ankle	Knöchel
anklebone	anklebone
anklet	Fußkettchen
annexation	Annexion
annihilate	vernichten
annihilation	Vernichtung
annihilative	vernichtend
annihilator	Vernichter
anniversary	Jubiläum
annotate	kommentieren
annotation	Anmerkung
annotative	Anmerkung
annotator	Kommentator
announce	bekannt geben
announcement	Bekanntmachung
announcer	Ansager
annoy	belästigen
annoyance	Ärger
annoyed	verärgert
annoying	nervig
annoyingly	ärgerlich
annoyingness	Ärgernis
annually	jährlich
annuity	Rente
annul	annullieren
annulment	Aufhebung
anoint	salben
anointed	gesalbt
anointer	Salber
anointment	Salbung
anonymity	Anonymität
anonymous	anonym
anonymously	anonym
anonymousness	Anonymität
anorexia	Anorexie
anorexic	magersüchtig
answer	Antwort
answerability	Verantwortung
answerable	verantwortlich
answerably	verantwortlich
answerer	Beantworter
answerless	antwortlos
ant	An
antacid	Antazida
antagonism	Antagonismus
antagonist	Gegner
antagonistic	antagonistisch
antagonistically	antagonistisch
antagonize	antagonisieren
antarctic	Antarktis
ante	im Hinblick auf
anteater	Ameisenbär
antelope	Antilope
antenna	Antenne
anterior	anterior
anthem	Hymne
anthill	Ameisenhaufen
anthologist	Anthologe
anthology	Anthologie
anthrax	Milzbrand
anthropological	anthropologisch
anthropologically	anthropologisch
anthropologist	Anthropologe
anthropology	Anthropologie
anthropomorphic	anthropomorph
anti	Anti
antiaircraft	Flugabwehr
antibacterial	antibakteriell
antibiotic	Antibiotikum
antibiotics	Antibiotika
antibody	Antikörper
anticensorship	Antizensur
antichrist	Antichrist
antichristian	antichristlich
antichurch	Antikirche
anticipate	antizipieren
anticipation	Vorwegnahme
anticipative	vorausschauend
anticipator	Antizipator
anticipatory	vorausschauend
anticlimax	Enttäuschung
anticlockwise	gegen den Uhrzeigersinn
anticoagulant	Antikoagulans
anticoagulation	Antikoagulation
anticommunism	Antikommunismus
anticorrosive	Korrosionsschutz
antics	Possen
antidemocratic	antidemokratisch
antidepressant	Antidepressivum
antidote	Gegenmittel
antiestablishment	Anti-Establishment
antifeminism	Antifeminismus
antifeminist	antifeministisch
antifoaming	Antischaummittel
antifreeze	Frostschutzmittel
antifundamentalist	antifundamentalistisch
antifungal	antimykotisch
antigambling	Anti-Glücksspiel
antiglare	Blendschutz
antigovernment	gegen die Regierung
antigravity	Anti Schwerkraft
antigrowth	Antiwachstum
antihero	Antiheld
antiheroic	antiheroisch
antihistamine	Antihistamin
antihuman	antihuman
antimatter	Antimaterie
antimilitarist	antimilitaristisch
antimilitary	antimilitärisch
antimonarchical	antimonarchisch
antinationalist	antinationalistisch
antioxidant	Antioxidans
antipasto	Antipasti
antipathy	Antipathie
antipatriotic	antipatriotisch
antipersonnel	Antipersonen
antiperspirant	Antitranspirant
antipoetic	antipoetisch
antipollution	Gegen Verschmutzung
antipoverty	Anti-Armut
antipsychotic	Antipsychotikum
antiquate	altmodisch
antiquated	veraltet
antiquation	Antiquität
antique	Antiquität
antiquely	antik
antiquity	Antike
antirealism	Antirealismus
antireligious	Stabilisatoren
antirevolutionary	antirevolutionär
antirust	Anti-Rost
antisemitic	antisemitisch
antisemitism	Antisemitismus
antiseptic	Antiseptikum
antiseptically	antiseptisch
antiseptics	Antiseptika
antislavery	Antisklaverei
antismoking	Anti-Raucher
antisocial	asozial
antisocialist	antisozialistisch
antitheft	Diebstahlschutz
antithesis	Antithese
antitoxin	Antitoxin
antiviral	Virostatikum
antivirus	Antivirus
antiwar	Antikrieg
antler	Geweih
antlered	Geweih
antonym	Antonym
antsy	nervös
anvil	Amboss
anxiety	Angst
anxious	ängstlich
anxiously	besorgt
any	beliebig
anybody	irgendjemand
anyhow	jedenfalls
anymore	mehr
anyone	irgendjemand
anyplace	überall
anything	irgendetwas
anyway	Trotzdem
anyways	wie auch immer
anywhere	überall
aorta	Aorta
apache	Apache
apart	auseinander
apartment	Wohnung
apartments	Wohnungen
apartness	Getrenntheit
apathetic	apathisch
apathetically	apathisch
apathy	Apathie
ape	Affe
apelike	Apfel
apex	Apex
aphid	Blattlaus
aphrodisiacal	aphrodisierend
aplenty	jede Menge
apnea	Apnoe
apocalyptic	apokalyptisch
apocalyptical	apokalyptisch
apocalyptically	apokalyptisch
apolitical	apolitisch
apologetic	entschuldigend
apologetics	Apologetik
apologize	sich entschuldigen
apologizer	Entschuldigung
apology	Entschuldigung
apostolic	apostolisch
apostrophe	Apostroph
apothecary	Apotheker
app	App
appalled	entsetzt
appalling	entsetzlich
appallingly	entsetzlich
apparatus	Gerät
apparel	Bekleidung
apparent	ersichtlich
apparently	scheinbar
apparentness	Scheinbarkeit
apparition	Erscheinung
appeal	appellieren
appealable	anfechtbar
appealing	reizvoll
appealingly	ansprechend
appear	erscheinen
appearance	Aussehen
appeasable	besänftigend
appease	beschwichtigen
appeasement	Beschwichtigung
appeaser	Beschwichtiger
appeasing	beschwichtigend
append	anhängen
appendage	Anhängsel
appendectomy	Blinddarmoperation
appendices	Anhänge
appendicitis	Appendizitis
appendix	Anhang
appetite	Appetit
appetizer	Vorspeise
appetizing	appetitlich
appetizingly	appetitlich
applaud	applaudieren
applaudable	lobenswert
applauder	applaudieren
applause	Beifall
apple	Apfel
applecart	Apfelkarren
applesauce	Apfelsoße
appliance	Gerät
applicability	Anwendbarkeit
applicable	anwendbar
applicableness	Anwendbarkeit
applicably	anwendbar
applicant	Antragsteller
application	Anwendung
applicator	Applikator
applicatory	anwendungsbezogen
applied	angewandt
applier	Applikator
apply	anwenden
appoint	ernennen
appointee	ernannt
appointer	Ernennung
appointment	Termin
appraisable	bewertbar
appraise	bewerten
appraisement	Bewertung
appraiser	Gutachter
appraising	abschätzend
appraisingly	abschätzend
appreciable	nennenswert
appreciably	spürbar
appreciate	anerkennen
appreciation	Anerkennung
appreciative	dankbar
appreciatively	anerkennend
appreciativeness	Wertschätzung
appreciator	Schätzer
appreciatory	anerkennend
