english	german
abstractly	abstrakt
absurdity	absurdität
absurdly	absurd
absurdness	absurdität
abundance	fülle
abundant	reichlich
abundantly	reichlich
abuse	missbrauch
abuser	täter
abusive	missbräuchlich
abusively	missbräuchlich
abusiveness	missbrauch
abysmally	abgrundtief
abyss	abgrund
academia	wissenschaft
academic	akademisch
academically	wissenschaftlich
academy	akademie
accelerant	beschleunigen
accelerate	beschleunigen
accelerated	beschleunigt
acceleration	beschleunigung
accelerative	beschleunigend
accelerator	beschleuniger
acceleratory	beschleunigend
accelerometer	beschleunigungsmesser
accent	akzent
accentually	akzentuiert
accentuate	akzentuieren
accentuation	akzentuierung
accept	akzeptieren
acceptability	annehmbarkeit
acceptable	akzeptabel
acceptableness	akzeptanz
acceptably	akzeptabel
acceptance	annahme
acceptant	akzeptieren
accepted	akzeptiert
acceptor	akzeptor
access	zugang
accessibility	barrierefreiheit
accessible	zugänglich
accessibly	zugänglich
accessorize	ausstatten
accessory	zubehörteil
accident	unfall
accidental	zufällig
accidentally	versehentlich
acclaim	anerkennung
acclaimer	anerkennung
acclamation	akklamation
acclimate	akklimatisieren
acclimatization	akklimatisierung
acclimatize	akklimatisieren
accolade	akkolade
accommodate	unterbringen
accommodating	zuvorkommend
accommodatingly	zuvorkommend
accommodation	unterkunft
accommodative	entgegenkommend
accommodator	unterbringung
accompanier	begleiter
accompaniment	begleitung
accompany	begleiten
accomplice	der mitschuldige
accomplish	erreichen
accomplishable	erreichbar
accomplished	vollendet
accomplisher	vollstrecker
accomplishment	leistung
accord	übereinstimmung
accordance	übereinstimmung
accordantly	entsprechend
accordingly	entsprechend
accordion	akkordeon
accordionist	akkordeonist
accosted	angesprochen
account	konto
accountability	rechenschaftspflicht
accountable	verantwortlich
accountableness	verantwortung
accountably	verantwortlich
accountancy	buchhaltung
accountant	buchhalter
accounting	buchhaltung
accredit	akkreditieren
accreditation	akkreditierung
accredited	akkreditiert
accrue	anfallen
accruement	erhöht
accumulate	akkumulieren
accumulation	akkumulation
accumulative	kumulativ
accumulatively	kumulativ
accumulativeness	akkumulierung
accumulator	akkumulator
accuracy	genauigkeit
accurate	genau
accurately	genau
accurateness	genauigkeit
accursed	verflucht
accusable	anklagbar
accusative	akkusativ
accusatively	anklagend
accusatorial	anklagend
accusatory	anklagend
accuse	beschuldigen
accused	beschuldigt
accuser	ankläger
accusingly	anklagend
accustom	gewöhnen
accustomed	gewohnt
ace	as
acetone	aceton
acetylene	acetylen
ache	schmerzen
achievable	erreichbar
achieve	erreichen
achievement	leistung
achiever	durchführer
achiness	schmerzen
aching	schmerz
achingly	schmerzhaft
achy	schmerzt
acid	säure
acidic	sauer
acidification	versauerung
acidify	ansäuern
acidity	säure
acidly	sauer
acidometer	säuremesser
acknowledgeable	anerkennenswert
acknowledged	anerkannt
acknowledgement	wissen
acne	akne
acorn	eichel
acoustic	akustisch
acoustical	akustisch
acoustically	akustisch
acquaint	bekannt machen
acquaintance	bekanntschaft
acquainted	bekannt
acquiesce	zustimmen
acquiescently	stillschweigend
acquirable	erwerbbar
acquire	erwerben
acquired	erworben
acquirement	aneignung
acquirer	erwerber
acquisition	erwerb
acquisitively	erwerbstätig
acquit	freisprechen
acquittal	freispruch
acquitter	freisprechen
acre	acre
acrid	scharf
acrimoniously	erbittert
acrobat	akrobat
acrobatic	akrobatisch
acrobatically	akrobatisch
acrobatics	akrobatik
acronym	akronym
acrophobia	höhenangst
across	über
acrylic	acryl
act	akt
acting	schauspielkunst
action	aktion
actionable	umsetzbar
activate	aktivieren sie
activation	aktivierung
activator	aktivator
active	aktiv
actively	aktiv
activeness	aktivität
activism	aktivismus
activist	aktivist
activity	aktivität
actor	schauspieler
actress	darstellerin
actual	tatsächlich
actuality	wirklichkeit
actualization	verwirklichung
actualize	verwirklichen
actually	genau genommen
acupressure	akupressur
acupuncture	akupunktur
acupuncturist	akupunkteur
acute	akut
acutely	akut
ad	anzeige
adage	sprichwort
adamant	unnachgiebig
adamantly	unerbittlich
adaptability	anpassungsfähigkeit
adaptable	anpassungsfähig
adapter	adapter
adaption	adaption
adaptive	adaptiv
adaptively	adaptiv
adaptor	adapter
add	hinzufügen
added	hinzugefügt
addendum	nachtrag
addict	süchtig
addicted	süchtig
addictedness	sucht
addictive	süchtig machend
addictiveness	suchtgefahr
additional	zusätzlich
additionally	zusätzlich
additive	zusatzstoff
additively	additiv
address	adresse
addressable	adressierbar
addressbook	adressbuch
addressee	adressat
addresser	adressierer
addressor	adressat
adept	geschickt
adeptly	geschickt
adeptness	geschicklichkeit
adequacy	angemessenheit
adequate	angemessen
adequately	ausreichend
adequateness	angemessenheit
adhere	haften
adherence	adhärenz
adherent	anhänger
adherently	haftend
adhesion	adhäsion
adhesive	klebstoff
adhesively	klebend
adhesiveness	haftfähigkeit
adjacent	benachbart
adjacently	daneben
adjectivally	adjektivisch
adjective	adjektiv
adjoin	angrenzen
adjoined	angeschlossen
adjoining	angrenzend
adjourn	vertagen
adjournment	unterbrechung
adjudicate	entscheiden
adjudication	entscheidung
adjunct	zusatz
adjust	anpassen
adjustability	verstellbarkeit
adjustable	einstellbar
adjustably	verstellbar
adjuster	einsteller
adjustment	einstellung
adjustor	einsteller
admin	administrator
administer	verwalten
administrable	verwaltbar
administrational	verwaltungstechnisch
administrative	administrativ
administratively	administrativ
administrator	administrator
admirable	bewundernswert
admirably	bewundernswert
admiral	admiral
admiration	bewunderung
admire	bewundern
admired	bewundert
admirer	bewunderer
admiring	bewundernd
admiringly	bewundernd
admissibility	zulässigkeit
admissible	zulässig
admissibleness	zulässigkeit
admission	zulassung
admissive	zustimmend
admit	zugeben
admittance	zulassung
admitted	zugelassen
admittedly	freilich
admitter	um zugelassen zu werden
admonishingly	mahnend
admonishment	ermahnung
adobe	adobe
adolescence	jugend
adolescent	jugendlicher
adolescently	jugendlich
adopt	adoptieren
adoptability	adoptierbarkeit
adoptable	adoptierbar
adopted	angenommen
adoptee	adoptiert
adopter	adoptant
adoption	annahme
adoptive	adoptiv
adoptively	adoptiv
adorability	liebenswürdigkeit
adorable	liebenswert
adorableness	liebenswürdigkeit
adorably	hinreißend
adoration	anbetung
adore	verehren
adoring	verehren
adoringly	liebevoll
adorn	schmücken
adorner	zierer
adornment	schmuck
adrenal	nebenniere
adrenalin	adrenalin
adrenaline	adrenalin
adrift	treibend
adult	erwachsene
adulteration	verfälschung
adulterer	ehebrecher
adulteress	ehebrecherin
adulterous	ehebrecherisch
adulterously	ehebrecherisch
adultery	ehebruch
adulthood	erwachsensein
adultlike	erwachsenenhaft
adultness	erwachsensein
advance	vorauszahlung
advanced	fortschrittlich
advancement	förderung
advancer	vorreiter
advancing	voranschreiten
advantage	vorteil
advantageous	vorteilhaft
advantageously	vorteilhaft
advantageousness	vorteilhaftigkeit
advent	advent
adventure	abenteuer
adventurer	abenteurer
adventuresome	abenteuerlich
adventuress	abenteurerin
adventurist	abenteurer
adventurous	abenteuerlich
adventurously	abenteuerlich
adventurousness	abenteuerlust
adverb	adverb
adversarial	gegnerisch
adversary	gegner
adverse	nachteilig
adversely	nachteilig
adverseness	ungünstigkeit
adversity	unglück
advert	inserat
advertently	versehentlich
advertise	werben
advertisement	werbung
advertiser	inserent
advertising	werbung
advertize	werben
advice	beratung
advisability	zweckmäßigkeit
advisable	ratsam
advise	beraten
advised	geraten
advisedly	mit bedacht
advisee	berater
advisement	beratung
adviser	berater
advisor	berater
advisory	beratend
advocacy	interessenvertretung
aeration	belüftung
aerator	belüfter
aerial	antenne
aerialist	luftakrobat
aerially	aus der luft
aerobatics	kunstflug
aerobic	aerobic
aerobically	aerob
aerobics	aerobic
aerodynamic	aerodynamisch
aerodynamics	aerodynamik
aerographer	aerograph
aeromechanics	aeromechanik
aeronautic	luftfahrt
aeronautical	luftfahrt
aeronautics	luftfahrt
aerosol	aerosol
aerospace	luft_ und raumfahrt
aesthetic	ästhetisch
aesthetical	ästhetisch
aesthetically	ästhetisch
aesthetician	kosmetikerin
aestheticism	ästhetizismus
aesthetics	ästhetik
afar	in der ferne
affability	freundlichkeit
affable	freundlich
affair	affäre
affect	beeinflussen
affected	betroffen
affectedness	betroffenheit
affecting	beeinflussend
affection	zuneigung
affectionate	liebevoll
affectionately	liebevoll
affective	affektiv
affectively	affektiv
affectivity	affektivität
affidavit	eidesstattliche erklärung
affiliate	affiliate
affiliation	zugehörigkeit
affirm	bestätigen
affirmable	bejahend
affirmation	bejahung
affirmative	positiv
affirmatively	bejahend
affirmer	bestätigen
affix	affix
affixation	anhang
afflict	beschweren
afflicted	befallen
afflicting	belastend
affliction	gebrechen
affluent	wohlhabend
affluently	wohlhabend
afford	leisten
affordability	bezahlbarkeit
affront	beleidigung
affronted	beleidigt
afghan	afghanisch
aficionado	liebhaber
aflame	in flammen
afloat	flott
aflutter	aflutter
aforementioned	vorgenannten
afraid	besorgt
afro	afro
after	nach
afterbirth	nachgeburt
afterburner	nachbrenner
aftercare	nachbehandlung
aftereffect	nachwirkung
afterhours	nach geschäftsschluss
afterlife	leben nach dem tod
aftermath	nachwirkungen
aftermost	nachletzte
afternoon	nachmittag
afterparty	nach der party
aftersale	nachverkauf
afterschool	nach der schule
aftershave	aftershave
aftershock	nachbeben
aftertaste	nachgeschmack
aftertime	nach der zeit
aftertimes	nachzeiten
afterward	nachher
afterworld	nachwelt
again	wieder
against	gegen
age	alter
aged	alt
ageism	altersdiskriminierung
ageless	zeitlos
agelessness	alterslosigkeit
agency	agentur
agenda	agenda
agent	agent
aggravate	verschlimmern
aggravated	verschärft
aggravating	erschwerend
aggravation	verschlimmerung
aggravator	verschärfer
aggregate	aggregat
aggregately	aggregiert
aggregation	anhäufung
aggregative	aggregativ
aggregator	aggregator
aggression	aggression
aggressive	aggressiv
aggressively	aggressiv
aggressiveness	aggressivität
aggrieve	betrüben
aggrievedly	gekränkt
aghast	august
agile	agil
agility	beweglichkeit
aging	altern
agitated	agitiert
agitatedly	aufgeregt
agitation	agitation
agitator	agitator
agnostic	agnostisch
agnostically	agnostisch
agnosticism	agnostizismus
ago	vor
agonistic	agonistisch
agonize	quälen
agonizing	quälend
agonizingly	quälend
agony	qual
agoraphobia	agoraphobie
agoraphobic	agoraphobisch
agree	zustimmen
agreeable	angenehm
agreeableness	verträglichkeit
agreeably	angenehm
agreed	vereinbart
agreeing	zustimmend
agreement	vereinbarung
agricultural	landwirtschaftlich
agriculturalist	landwirt
agriculturally	landwirtschaftlich
agriculture	landwirtschaft
agriculturist	landwirt
aground	auf grund gelaufen
ahead	voraus
ahem	hm
ahoy	ahoi
aid	hilfe
aide	berater
aides	helfer
aidless	hilflos
aids	aids
ailing	kränklich
ailment	leiden
aim	ziel
aiming	zielen
aimless	ziellos
aimlessly	ziellos
aimlessness	ziellosigkeit
air	luft
airbag	airbag
airbed	luftmatratze
airboat	luftboot
airborne	in der luft
airbrush	airbrush
aircraft	flugzeug
aircraftman	flugzeugführer
aircrew	flugzeugbesatzung
airfield	flugplatz
airflow	luftstrom
airforce	luftwaffe
airfreight	luftfracht
airhead	luftkopf
airing	lüftung
airline	fluggesellschaft
airliner	verkehrsflugzeug
airmail	luftpost
airmanship	flugkunst
airpark	flughafen
airplane	flugzeug
airport	flughafen
airpower	luftkraft
airproof	luftdicht
airship	luftschiff
airshow	flugschau
airsick	luftkrank
airsickness	luftkrankheit
airspace	luftraum
airspeed	fluggeschwindigkeit
airstream	luftstrom
airstrike	luftangriff
airstrip	landebahn
airtight	luftdicht
airtime	sendezeit
airwave	es war kaputt
airway	atemweg
airworthiness	lufttüchtigkeit
airy	luftig
aisle	gang
ajar	unterrichten
akin	meins
alabaster	alabaster
alarm	alarm
alarmclock	wecker
alarmed	alarmiert
alarming	alarmierend
alarmingly	erschreckend
alarmist	alarmist
alas	ach
albacore	weißer thun
albatross	albatros
albeit	albeit
albino	albino
album	album
alchemically	alchemistisch
alchemist	alchimist
alchemy	alchimie
alcohol	alkohol
alcoholic	alkoholiker
alcoholically	alkoholisch
alcoholism	alkoholismus
alcove	alkoven
ale	aber
alehouse	bierstube
alert	alarm
alertly	aufmerksam
alertness	wachsamkeit
alfalfa	alfalfa
algae	algen
algebra	algebra
algebraic	algebraisch
algebraically	algebraisch
algorithm	algorithmus
alias	alias
alibi	alibi
alien	außerirdischer
alienability	entfremdbarkeit
alienable	veräußerlich
alienate	entfremden
alienation	entfremdung
alienator	entfremder
aliens	außerirdische
alight	aussteigen
align	ausrichten
alignment	ausrichtung
alike	wie
alikeness	ähnlichkeit
alimony	alimente
alive	lebendig
aliveness	lebendigkeit
alkaline	alkalisch
alkalinity	alkalinität
alkalinize	alkalisieren
alkalization	alkalisierung
alkalize	alkalisieren
alkaloid	alkaloid
all	alle
allegation	behauptung
allege	behaupten
allegeable	angeblich
alleged	angeblich
allegedly	angeblich
allegiance	treue
allegoric	allegorisch
allegorical	allegorisch
allegorically	allegorisch
allegorist	allegorist
allegory	allegorie
allergen	allergen
allergenic	allergen
allergic	allergisch
allergist	allergologe
allergy	allergie
alleviate	lindern
alleviation	linderung
alleviative	lindernd
alleviator	linderung
alley	gasse
alleyway	gasse
alliance	allianz
allied	verbündet
allies	alliierte
alligator	alligator
alliterate	allitieren
alliteration	alliteration
allocable	zuordenbar
allocate	zuordnen
allocation	zuweisung
allocator	allokator
allotment	zuteilung
allow	erlauben
allowable	zulässig
allowableness	zulässigkeit
allowably	zulässig
allowance	zuschuss
alloy	legierung
allspice	piment
allure	locken
allurer	verführer
alluring	verlockend
alluringly	verführerisch
allusion	anspielung
allusively	anspielend
allusiveness	anspielung
ally	verbündete
almightily	allmächtig
almightiness	allmacht
almighty	allmächtig
almond	mandel
almost	fast
aloe	aloe
aloft	oben
aloha	auf wiedersehen
alone	allein
aloneness	einsamkeit
along	entlang
alongside	neben
aloof	distanziert
aloofly	distanziert
aloud	laut
alpaca	alpaka
alpha	alpha
alphabet	alphabet
alphabetic	alphabetisch
alphabetical	alphabetisch
alphabetically	alphabetisch
alphabetization	alphabetisierung
alphabetize	alphabetisieren
alphanumeric	alphanumerisch
alphanumerical	alphanumerisch
alpine	alpin
already	bereits
alright	in ordnung
also	auch
altar	altar
altarpiece	altarbild
alter	alter
alterability	veränderbarkeit
alterable	änderbar
alteration	änderung
altercation	auseinandersetzung
alternate	wechseln
alternately	abwechselnd
alternating	abwechselnd
alternation	wechsel
alternative	alternative
alternatively	alternative
alternativeness	alternative
alternator	generator
although	obwohl
altitude	höhe
altogether	insgesamt
altruism	altruismus
altruistic	altruistisch
altruistically	altruistisch
alum	alaun
aluminize	aluminisieren
aluminum	aluminium
alumni	alumni
always	stets
alzheimer	alzheimer
am	am
amaretto	amaretto
amass	anhäufen
amateur	amateur
amateurish	amateurhaft
amateurishly	dilettantisch
amateurishness	dilettantismus
amateurism	amateurismus
amaze	verblüffen
amazed	erstaunt
amazedly	erstaunt
amazedness	erstaunen
amazement	staunen
amazing	toll
amazingly	erstaunlich
ambassador	botschafter
ambassadorial	botschafter_
ambassadorship	botschafterschaft
amber	bernstein
ambiance	ambiente
ambidexterity	beidhändigkeit
ambidexterous	beidhändig
ambidextrous	beidhändig
ambidextrously	beidhändig
ambience	ambiente
ambiguity	mehrdeutigkeit
ambiguous	mehrdeutig
ambiguously	mehrdeutig
ambiguousness	mehrdeutigkeit
ambitious	ehrgeizig
ambitiousness	ehrgeiz
ambivalence	ambivalenz
ambivalent	ambivalent
amble	schlendern
ambling	schlendern
ambulance	krankenwagen
ambulatory	ambulant
ambush	hinterhalt
ambusher	hinterhalt
amen	amen
amenable	zugänglich
amendable	änderbar
amendment	änderung
amenity	annehmlichkeit
americanize	amerikanisieren
amethyst	amethyst
amiable	liebenswürdig
amicability	verträglichkeit
amicable	freundschaftlich
amicableness	freundlichkeit
amicably	friedlich
amid	inmitten
amidst	inmitten
amigo	freund
amino	amino
amiss	falsch
ammo	jedoch
ammonia	ammoniak
ammonium	ammonium
ammunition	munition
amnesiac	amnesie
amoeba	amöbe
amok	amok
among	unter
amongst	unter
amoral	amoralisch
amorality	amoralität
amorously	verliebt
amorousness	verliebtheit
amorphous	amorph
amorphously	amorph
amount	menge
amp	ampere
amperage	stromstärke
amphetamine	amphetamin
amphibian	amphibie
amphibious	amphibisch
amphibiously	amphibisch
amphitheater	amphitheater
ample	reichlich
ampleness	fülle
amplification	verstärkung
amplifier	verstärker
amplify	verstärken
amply	reichlich
amputate	amputieren
amputation	amputation
amputee	amputierte
amulet	amulett
amusable	amüsant
amuse	amüsieren
amused	amüsiert
amusedly	amüsiert
amusement	amüsement
amuser	amüsieren
amusing	lustig
an	ein
anaconda	anakonda
anaerobic	anaerob
anaesthetize	betäuben
anagram	anagramm
anagrams	anagramme
anal	anal
analgesic	analgetikum
anally	anal
analog	analog
analogical	analog
analogous	analog
analogy	analogie
analyses	analysen
analysis	analyse
analyst	analytiker
analytic	analytisch
analytical	analytisch
analytically	analytisch
analytics	analytik
analyzability	analysierbarkeit
analyzable	zerlegbar
analyze	analysieren
analyzer	analysator
anamorphic	anamorph
anarchic	anarchisch
anarchical	anarchisch
anarchism	anarchismus
anarchist	anarchist
anarchy	anarchie
anatomic	anatomisch
anatomical	anatomisch
anatomically	anatomisch
anatomist	anatom
anatomization	anatomisierung
ancestor	vorfahr
ancestors	vorfahren
ancestral	ahnen_
ancestrally	angestammt
ancestry	abstammung
anchor	anker
anchorage	anchorage
anchored	verankert
anchorless	ankerlos
anchorwoman	moderatorin
anchovy	anschovis
ancient	uralt
anciently	in der antike
and	und
androgyny	androgynie
android	android
anecdotal	anekdotisch
anecdote	anekdote
anecdotic	anekdotisch
anemia	anämie
anemic	anämisch
anesthesia	anästhesie
anesthesiologist	anästhesist
anesthesiology	anästhesiologie
anesthetic	narkose
anesthetist	anästhesist
anesthetization	betäubung
anesthetize	betäuben
aneurism	aneurysma
aneurysm	aneurysma
anew	ein neuer
angel	engel
angelfish	kaiserfisch
angelical	engelhaft
angelically	engelhaft
anger	wut
angers	wut
angioplasty	angioplastie
angle	winkel
angled	abgewinkelt
angler	angler
angles	winkel
angleworm	winkelwurm
angrily	wütend
angry	wütend
anguish	pein
anguished	gequält
animal	tier
animalistic	animalisch
animalize	animalisieren
animated	animiert
animatedly	lebhaft
animating	animierend
animation	animation
animator	animator
anime	anime
animosity	feindseligkeit
ankle	knöchel
anklebone	anklebone
anklet	fußkettchen
annexation	annexion
annihilate	vernichten
annihilation	vernichtung
annihilative	vernichtend
annihilator	vernichter
anniversary	jubiläum
annotate	kommentieren
annotation	anmerkung
annotative	anmerkung
annotator	kommentator
announce	bekannt geben
announcement	bekanntmachung
announcer	ansager
annoy	belästigen
annoyance	ärger
annoyed	verärgert
annoying	nervig
annoyingly	ärgerlich
annoyingness	ärgernis
annually	jährlich
annuity	rente
annul	annullieren
annulment	aufhebung
anoint	salben
anointed	gesalbt
anointer	salber
anointment	salbung
anonymity	anonymität
anonymous	anonym
anonymously	anonym
anonymousness	anonymität
anorexia	anorexie
anorexic	magersüchtig
answer	antwort
answerability	verantwortung
answerable	verantwortlich
answerably	verantwortlich
answerer	beantworter
answerless	antwortlos
ant	an
antacid	antazida
antagonism	antagonismus
antagonist	gegner
antagonistic	antagonistisch
antagonistically	antagonistisch
antagonize	antagonisieren
antarctic	antarktis
ante	im hinblick auf
anteater	ameisenbär
antelope	antilope
antenna	antenne
anterior	anterior
anthem	hymne
anthill	ameisenhaufen
anthologist	anthologe
anthology	anthologie
anthrax	milzbrand
anthropological	anthropologisch
anthropologically	anthropologisch
anthropologist	anthropologe
anthropology	anthropologie
anthropomorphic	anthropomorph
anti	anti
antiaircraft	flugabwehr
antibacterial	antibakteriell
antibiotic	antibiotikum
antibiotics	antibiotika
antibody	antikörper
anticensorship	antizensur
antichrist	antichrist
antichristian	antichristlich
antichurch	antikirche
anticipate	antizipieren
anticipation	vorwegnahme
anticipative	vorausschauend
anticipator	antizipator
anticipatory	vorausschauend
anticlimax	enttäuschung
anticlockwise	gegen den uhrzeigersinn
anticoagulant	antikoagulans
anticoagulation	antikoagulation
anticommunism	antikommunismus
anticorrosive	korrosionsschutz
antics	possen
antidemocratic	antidemokratisch
antidepressant	antidepressivum
antidote	gegenmittel
antiestablishment	anti_establishment
antifeminism	antifeminismus
antifeminist	antifeministisch
antifoaming	antischaummittel
antifreeze	frostschutzmittel
antifundamentalist	antifundamentalistisch
antifungal	antimykotisch
antigambling	anti_glücksspiel
antiglare	blendschutz
antigovernment	gegen die regierung
antigravity	anti schwerkraft
antigrowth	antiwachstum
antihero	antiheld
antiheroic	antiheroisch
antihistamine	antihistamin
antihuman	antihuman
antimatter	antimaterie
antimilitarist	antimilitaristisch
antimilitary	antimilitärisch
antimonarchical	antimonarchisch
antinationalist	antinationalistisch
antioxidant	antioxidans
antipasto	antipasti
antipathy	antipathie
antipatriotic	antipatriotisch
antipersonnel	antipersonen
antiperspirant	antitranspirant
antipoetic	antipoetisch
antipollution	gegen verschmutzung
antipoverty	anti_armut
antipsychotic	antipsychotikum
antiquate	altmodisch
antiquated	veraltet
antiquation	antiquität
antique	antiquität
antiquely	antik
antiquity	antike
antirealism	antirealismus
antireligious	stabilisatoren
antirevolutionary	antirevolutionär
antirust	anti_rost
antisemitic	antisemitisch
antisemitism	antisemitismus
antiseptic	antiseptikum
antiseptically	antiseptisch
antiseptics	antiseptika
antislavery	antisklaverei
antismoking	anti_raucher
antisocial	asozial
antisocialist	antisozialistisch
antitheft	diebstahlschutz
antithesis	antithese
antitoxin	antitoxin
antiviral	virostatikum
antivirus	antivirus
antiwar	antikrieg
antler	geweih
antlered	geweih
antonym	antonym
antsy	nervös
anvil	amboss
anxiety	angst
anxious	ängstlich
anxiously	besorgt
any	beliebig
anybody	irgendjemand
anyhow	jedenfalls
anymore	mehr
anyone	irgendjemand
anyplace	überall
anything	irgendetwas
anyway	trotzdem
anyways	wie auch immer
anywhere	überall
aorta	aorta
apache	apache
apart	auseinander
apartment	wohnung
apartments	wohnungen
apartness	getrenntheit
apathetic	apathisch
apathetically	apathisch
apathy	apathie
ape	affe
apelike	apfel
apex	apex
aphid	blattlaus
aphrodisiacal	aphrodisierend
aplenty	jede menge
apnea	apnoe
apocalyptic	apokalyptisch
apocalyptical	apokalyptisch
apocalyptically	apokalyptisch
apolitical	apolitisch
apologetic	entschuldigend
apologetics	apologetik
apologize	sich entschuldigen
apologizer	entschuldigung
apology	entschuldigung
apostolic	apostolisch
apostrophe	apostroph
apothecary	apotheker
app	app
appalled	entsetzt
appalling	entsetzlich
appallingly	entsetzlich
apparatus	gerät
apparel	bekleidung
apparent	ersichtlich
apparently	scheinbar
apparentness	scheinbarkeit
apparition	erscheinung
appeal	appellieren
appealable	anfechtbar
appealing	reizvoll
appealingly	ansprechend
appear	erscheinen
appearance	aussehen
appeasable	besänftigend
appease	beschwichtigen
appeasement	beschwichtigung
appeaser	beschwichtiger
appeasing	beschwichtigend
append	anhängen
appendage	anhängsel
appendectomy	blinddarmoperation
appendices	anhänge
appendicitis	appendizitis
appendix	anhang
appetite	appetit
appetizer	vorspeise
appetizing	appetitlich
appetizingly	appetitlich
applaud	applaudieren
applaudable	lobenswert
applauder	applaudieren
applause	beifall
apple	apfel
applecart	apfelkarren
applesauce	apfelsoße
appliance	gerät
applicability	anwendbarkeit
applicable	anwendbar
applicableness	anwendbarkeit
applicably	anwendbar
applicant	antragsteller
application	anwendung
applicator	applikator
applicatory	anwendungsbezogen
applied	angewandt
applier	applikator
apply	anwenden
appoint	ernennen
appointee	ernannt
appointer	ernennung
appointment	termin
appraisable	bewertbar
appraise	bewerten
appraisement	bewertung
appraiser	gutachter
appraising	abschätzend
appraisingly	abschätzend
appreciable	nennenswert
appreciably	spürbar
appreciate	anerkennen
appreciation	anerkennung
appreciative	dankbar
appreciatively	anerkennend
appreciativeness	wertschätzung
appreciator	schätzer
appreciatory	anerkennend
apprehend	begreifen
apprehender	festnahme
apprehensibility	begreifbarkeit
apprehensible	begreiflich
apprehension	auffassung
apprehensive	besorgt
apprehensively	ängstlich
apprehensiveness	beklommenheit
apprentice	lehrling
apprenticeship	ausbildung
apprise	informieren
approach	ansatz
approachability	zugänglichkeit
approachable	zugänglich
approachableness	zugänglichkeit
approaching	nähert sich
appropriately	passend
appropriateness	angemessenheit
appropriator	aneigner
approval	genehmigung
approve	genehmigen
approver	genehmiger
approvingly	zustimmend
approximate	ungefähr
approximately	etwa
approximation	annäherung
approximatively	ungefähr
apricot	aprikose
april	april
apron	schürze
apt	geeignet
aptitude	eignung
aptly	treffend
aptness	eignung
aqua	aqua
aquaculture	aquakultur
aquamarine	aquamarin
aquarian	wassermann
aquarium	aquarium
aquarius	wassermann
aquatic	wasser_
aquatically	aquatisch
aquatics	wassersport
aqueduct	aquädukt
aquifer	grundwasserleiter
arabic	arabisch
arachnophobia	spinnenphobie
arbitrarily	willkürlich
arbitrariness	willkür
arbitrary	willkürlich
arbitrate	vermitteln
arbitration	schlichtung
arbitrative	schiedsrichterlich
arbitrator	schiedsrichter
arbor	laube
arcade	arkade
arch	bogen
archaeological	archäologisch
archaeologist	archäologe
archaeology	archäologie
archaic	archaisch
archangel	erzengel
archangelic	erzengel
archbishop	erzbischof
archduchess	erzherzogin
archduke	erzherzog
arched	gewölbt
archenemy	erzfeind
archer	bogenschütze
archery	bogenschießen
